               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 109,            0.023224,           0.0032811,            0.000401,             0.87912,             0.77988,             0.81697,             0.52411,            0.040602,           0.0029145,          0.00089326,            0.008272,            0.008272,            0.008272
                 110,            0.024609,           0.0048743,          0.00050132,             0.85421,             0.76798,             0.82293,             0.54485,            0.040113,           0.0028697,          0.00079813,            0.008256,            0.008256,            0.008256
                 111,            0.023926,           0.0041364,          0.00041474,              0.8671,             0.75602,              0.8106,             0.53747,            0.041418,           0.0029166,          0.00099946,             0.00824,             0.00824,             0.00824
                 112,            0.023816,           0.0042444,          0.00045022,              0.8835,             0.77663,             0.83197,             0.54434,            0.039359,           0.0029465,          0.00079011,            0.008224,            0.008224,            0.008224
                 113,            0.022731,           0.0035248,          0.00041227,             0.82066,              0.7967,             0.82857,                0.53,            0.039885,           0.0030233,          0.00080812,            0.008208,            0.008208,            0.008208
                 114,            0.023611,           0.0038009,          0.00043996,              0.8623,             0.76863,             0.82217,             0.53216,            0.040089,           0.0029126,           0.0013053,            0.008192,            0.008192,            0.008192
                 115,            0.023919,           0.0042789,          0.00042782,             0.86095,             0.76093,             0.81846,             0.51509,            0.040614,           0.0030247,          0.00095946,            0.008176,            0.008176,            0.008176
                 116,            0.023251,           0.0032017,          0.00044659,             0.86461,             0.77658,             0.81828,             0.54609,            0.039918,            0.003063,          0.00090629,             0.00816,             0.00816,             0.00816
                 117,            0.023299,           0.0036486,          0.00046592,             0.88109,             0.82484,             0.85101,             0.55286,            0.039309,           0.0029102,          0.00088449,            0.008144,            0.008144,            0.008144
                 118,            0.022527,           0.0030441,          0.00037433,             0.87298,             0.80572,             0.84977,             0.54636,             0.03943,           0.0030258,           0.0010171,            0.008128,            0.008128,            0.008128
                 119,            0.022903,           0.0032809,          0.00040064,             0.89619,             0.80432,             0.82739,             0.54253,            0.039381,           0.0031038,          0.00090426,            0.008112,            0.008112,            0.008112
                 120,            0.022519,           0.0035371,          0.00041176,             0.89891,              0.7634,             0.83456,             0.53734,            0.039791,           0.0031205,          0.00085065,            0.008096,            0.008096,            0.008096
                 121,            0.022854,            0.003609,          0.00039579,             0.87717,             0.79727,             0.83247,             0.53242,            0.040474,           0.0027339,           0.0010039,             0.00808,             0.00808,             0.00808
                 122,            0.023484,           0.0035658,          0.00044376,             0.91433,             0.79903,             0.85324,             0.54953,            0.039929,           0.0027926,           0.0008769,            0.008064,            0.008064,            0.008064
                 123,            0.023355,           0.0041155,          0.00040203,              0.8556,              0.8112,             0.85693,             0.56196,            0.039619,           0.0027283,          0.00095569,            0.008048,            0.008048,            0.008048
                 124,            0.022983,           0.0040163,          0.00046499,             0.87493,             0.80048,             0.82576,             0.55025,             0.03993,           0.0027783,          0.00088009,            0.008032,            0.008032,            0.008032
                 125,             0.02304,           0.0039966,           0.0003966,              0.8731,              0.7798,             0.84246,             0.52531,            0.040917,           0.0029051,          0.00084859,            0.008016,            0.008016,            0.008016
                 126,             0.02277,           0.0035105,          0.00037614,             0.86019,             0.80989,             0.84648,             0.53097,            0.040149,           0.0027838,          0.00098264,               0.008,               0.008,               0.008
                 127,            0.022971,           0.0035279,          0.00046891,             0.84034,              0.8051,             0.82392,             0.51283,            0.041309,           0.0029765,          0.00089087,            0.007984,            0.007984,            0.007984
                 128,            0.023837,           0.0047697,          0.00047238,             0.84728,             0.78042,             0.82194,             0.52214,            0.040249,           0.0031085,          0.00089266,            0.007968,            0.007968,            0.007968
                 129,            0.022781,           0.0030819,          0.00038565,             0.90001,             0.77338,             0.82805,             0.52704,            0.039864,           0.0029249,          0.00095246,            0.007952,            0.007952,            0.007952
                 130,            0.022961,           0.0037745,          0.00041488,             0.87222,             0.78867,             0.83077,             0.54193,             0.04013,           0.0028702,          0.00098965,            0.007936,            0.007936,            0.007936
                 131,            0.023577,           0.0041607,          0.00040539,             0.84612,             0.75926,             0.82055,             0.54079,            0.039736,            0.002907,          0.00099504,             0.00792,             0.00792,             0.00792
                 132,            0.022399,           0.0032675,          0.00034459,              0.8747,             0.78838,             0.83591,             0.53884,             0.03956,           0.0028776,           0.0010615,            0.007904,            0.007904,            0.007904
                 133,            0.022558,           0.0037469,          0.00041212,             0.85268,              0.7611,             0.80938,              0.5257,              0.0399,           0.0028795,           0.0008575,            0.007888,            0.007888,            0.007888
                 134,            0.022416,           0.0034526,           0.0003742,             0.85491,             0.81162,             0.83553,              0.5317,            0.039771,           0.0029147,          0.00087441,            0.007872,            0.007872,            0.007872
